epoch,Train_loss,Test_loss,Train_f1_score,Train_auroc,Test_f1_score,Test_auroc
1,0.025327274575829506,0.03344785049557686,0.05607473153985443,0.6198615363165659,0.08129718407169491,0.7037871919747166
2,0.020439675077795982,0.014273031614720821,0.11838947269149264,0.8050302557121901,0.2843893767269092,0.7934812651036566
3,0.013702488504350185,0.009265786036849022,0.1796487960490117,0.8830515413360396,0.3124832751144248,0.8548961513572406
4,0.018718022853136063,0.007944541983306408,0.23140628288419962,0.9102558092705486,0.3369130118877735,0.848791241658419
5,0.017849894240498543,0.011456921696662903,0.2671832633680996,0.9238910413131354,0.2895121275445885,0.8769986203457917
6,0.010488133877515793,0.006524775177240372,0.2964830083196641,0.9313926770861906,0.3219151764421103,0.8580107800211142
7,0.00789544079452753,0.008000721223652363,0.320853516629247,0.9413300915159848,0.3406388658948787,0.856492204209013
8,0.01012513693422079,0.00772782601416111,0.34249126704953753,0.9438904118573946,0.3730797074494138,0.8683667919222825
9,0.00871521420776844,0.008501452393829823,0.35121777345731825,0.947583285994409,0.3467158651823324,0.8717338314720542
10,0.011528851464390755,0.007878086529672146,0.3671590133457874,0.9512656701450126,0.3595619923228727,0.8879718263762179
11,0.012210420332849026,0.006729828659445047,0.37167930063492305,0.9518773124043163,0.3823392112029474,0.8637768206078568
12,0.0074658771045506,0.006670260801911354,0.3807195852285162,0.9553143885585852,0.3519355931508132,0.8831688493852462
13,0.008980035781860352,0.009573787450790405,0.392573164687465,0.9571411884655698,0.3822872148141067,0.863523976161487
14,0.007951360195875168,0.01435097772628069,0.39738948635845084,0.9576523997509288,0.3635558650235477,0.8772532574424594
15,0.012334536761045456,0.006674216594547033,0.40079305932433423,0.9594344073167657,0.34639525328709175,0.8755426681259522
16,0.022792423143982887,0.01082772109657526,0.4026230038293345,0.9596530469665648,0.39519676699676515,0.8898413956211976
17,0.010261913761496544,0.007108059711754322,0.41408849152147537,0.9616268247206823,0.39014665413275124,0.8900072844855206
18,0.007301424629986286,0.006511167623102665,0.4183069815052612,0.9601432158124208,0.35468949144964307,0.8764903581041154
19,0.02591504156589508,0.005883653648197651,0.41630257078311644,0.9623510606013824,0.3467296807353773,0.8828433189620245
20,0.012908208183944225,0.006940234452486038,0.4169838917077761,0.9614443632487669,0.3839609344633734,0.8912369025315746
21,0.0070614926517009735,0.006501699332147837,0.4215673510748923,0.9630346151561402,0.3656641438828359,0.8808870009486608
22,0.007105671800673008,0.010749285109341145,0.42145937478220824,0.9649280411053597,0.32108315988616054,0.8801014241484985
23,0.024431739002466202,0.007307784166187048,0.4231830990638308,0.9647779044062172,0.3794993378664761,0.8835839142160453
24,0.007078422233462334,0.011182908900082111,0.42735244731038263,0.9662298572132059,0.3825623849173583,0.8908109572624942
25,0.009471850469708443,0.007953230291604996,0.43197033125160145,0.9660523583549825,0.39859912675730325,0.8970359825911313
